num_passengers,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,flight_duration,sales_channel_Internet,sales_channel_Mobile,trip_type_CircleTrip,trip_type_OneWay,trip_type_RoundTrip,booking_complete,total_service_preferences
3,173,6,12,0,ICNSYD,South Korea,8.58,True,False,False,False,True,0,2
3,115,31,8,0,COKPER,Australia,5.62,True,False,False,False,True,0,2
1,9,17,14,5,DACSYD,Australia,8.58,True,False,False,False,True,0,1
4,126,6,14,4,DPSPVG,China,5.33,True,False,False,False,True,0,2
1,123,5,2,5,OOLPNH,Australia,8.83,True,False,False,False,True,0,1
1,7,2,1,0,SGNSYD,Australia,8.58,False,True,False,False,True,0,1
2,36,40,10,3,MELMNL,Australia,8.83,True,False,False,False,True,0,2
2,11,6,21,6,KIXSIN,Singapore,7.0,False,True,False,False,True,0,3
1,220,6,16,3,CNXICN,Thailand,6.62,True,False,False,False,True,0,1
1,15,293,23,1,SGNSYD,Australia,8.58,True,False,False,False,True,0,0
1,292,2,16,1,HNDPEN,Japan,7.57,True,False,False,False,True,0,0
2,59,5,10,3,HKTSYD,Australia,8.58,True,False,False,False,True,0,0
4,98,5,8,4,AKLKUL,Malaysia,8.83,True,False,False,False,True,0,2
2,72,6,13,5,HKTHND,Japan,7.57,True,False,False,False,True,0,2
2,238,19,14,1,AKLDEL,India,5.52,True,False,False,False,True,0,2
1,50,45,14,6,SYDTPE,Australia,8.58,False,True,False,False,True,0,1
2,36,6,9,1,DPSPVG,China,5.33,True,False,False,False,True,0,1
2,96,22,3,3,COKPER,Australia,5.62,True,False,False,False,True,0,3
2,162,17,8,1,DELMEL,Australia,8.83,True,False,False,False,True,0,2
1,34,20,5,1,MELTPE,Taiwan,8.83,True,False,False,False,True,0,3
1,8,5,16,5,MELPEN,Australia,8.83,True,False,False,False,True,0,2
1,135,44,23,5,MELTPE,Australia,8.83,True,False,False,False,True,0,2
1,62,92,11,6,DMKSYD,Australia,8.58,True,False,False,False,True,0,3
1,47,74,10,6,JHBKTM,Malaysia,4.75,True,False,False,False,True,0,1
4,154,25,4,2,PUSSYD,South Korea,8.58,True,False,False,False,True,0,2
1,32,17,8,4,PNHSYD,Australia,8.58,True,False,False,False,True,0,1
1,39,36,8,3,BKIMEL,Malaysia,8.83,True,False,False,False,True,0,3
6,72,5,15,5,CTUTWU,China,4.72,True,False,False,False,True,0,0
1,87,30,7,5,KBVMEL,Australia,8.83,True,False,False,False,True,0,2
1,58,6,10,1,HGHSIN,China,5.07,True,False,False,False,True,0,0
1,35,24,7,5,HKTMEL,Australia,8.83,True,False,False,False,True,0,0
2,18,5,6,3,AKLKUL,Malaysia,8.83,True,False,False,False,True,0,2
2,76,5,14,6,DPSPVG,United States,5.33,True,False,False,False,True,0,1
2,243,6,13,5,DPSPEK,China,6.42,False,True,False,False,True,0,1
1,16,5,10,0,BLRICN,India,6.62,True,False,False,False,True,0,0
1,101,87,12,2,MYYPER,Australia,5.62,True,False,False,False,True,0,2
1,305,17,6,3,PENTPE,Taiwan,4.67,True,False,False,False,True,0,1
2,174,5,6,6,BKIICN,South Korea,6.62,False,True,False,False,True,0,0
1,33,91,11,6,ICNMEL,South Korea,8.83,True,False,False,False,True,0,1
2,168,5,12,2,DPSKIX,Japan,7.0,True,False,False,False,True,0,2
3,54,24,5,5,DMKSYD,New Zealand,8.58,True,False,False,False,True,0,1
1,121,48,7,2,CGKMEL,Australia,8.83,True,False,False,False,True,0,3
2,1,5,10,1,HNDKCH,Malaysia,7.57,True,False,False,False,True,0,2
1,22,26,7,3,HYDPER,Australia,5.62,True,False,False,False,True,0,1
2,83,4,10,4,ICNSUB,Indonesia,6.62,True,False,False,False,True,0,0
1,68,33,5,6,DMKMEL,Australia,8.83,False,True,False,False,True,0,1
1,147,18,5,5,MELSGN,Australia,8.83,True,False,False,False,True,0,2
1,7,5,12,5,DMKICN,Thailand,6.62,True,False,False,False,True,0,1
1,15,90,13,0,AKLKUL,Germany,8.83,False,True,False,False,True,0,2
3,88,6,10,0,CGKTPE,Indonesia,4.67,True,False,False,False,True,0,3
